"","season","athlete_id","name","position","team","conference","avg_PPA_all","avg_PPA_pass","avg_PPA_rush","avg_PPA_first_down","avg_PPA_second_down","avg_PPA_third_down","avg_PPA_standard_downs","avg_PPA_passing_downs","total_PPA_all","total_PPA_pass","total_PPA_rush","total_PPA_first_down","total_PPA_second_down","total_PPA_third_down","total_PPA_standard_downs","total_PPA_passing_downs","countable_plays"
"96",2021,"4036016","Tobias Little","TE","Missouri State","",-0.087,0.561,-0.217,-0.047,-0.28,0.177,-0.083,-0.137,-1.049,1.122,-2.171,-0.284,-1.119,0.354,-0.912,-0.137,NA
"97",2021,"4036032","Brittain Brown","RB","UCLA","PAC",0.303,0.669,0.238,0.319,0.166,0.39,0.275,0.404,36.355,12.04,24.315,19.136,7.958,3.9,25.851,10.504,NA
"98",2021,"4036164","Dylan Parham","TE","NC State","ACC",0.902,0.902,NA,1.688,0.64,NA,1.294,-0.272,3.609,3.609,0,1.688,1.921,0,3.881,-0.272,NA
"99",2021,"4036168","C.J. Riley","WR","NC State","ACC",0.687,0.687,NA,0.909,0.162,0.851,0.771,0.559,10.298,10.298,0,4.544,0.646,5.108,6.942,3.356,NA
"100",2021,"4036215","Max Bortenschlager","QB","Florida International","CUSA",0.286,0.309,-0.049,0.222,0.211,0.459,0.212,0.37,74.332,77.227,-0.389,19.314,17.943,38.064,29.519,44.812,NA
"101",2021,"4036222","LaDerrien Wilson","RB","Bethune-Cookman","",-0.075,NA,-0.075,0.55,NA,-0.701,-0.075,NA,-0.151,0,-0.151,0.55,0,-0.701,-0.151,0,NA
"102",2021,"4036260","Kareem Walker","RB","South Alabama","SBC",0.11,0.219,0.093,-0.019,0.188,0.015,0.092,0.163,7.252,1.971,5.281,-0.587,3.39,0.229,4.488,2.764,NA
"103",2021,"4036262","Brandon Peters","QB","Illinois","B1G",0.305,0.261,0.641,0.179,0.238,0.509,0.227,0.382,61.554,46.803,14.751,11.82,14.254,37.166,22.934,38.62,NA
"104",2021,"4036281","Devon Benn","RB","Southern","",0.19,0.354,0.175,-0.026,0.236,1.254,0.291,-0.012,2.28,0.354,1.926,-0.154,1.18,1.254,2.326,-0.047,NA
"105",2021,"4036418","Corey Xavier Sutton","WR","App State","SBC",0.743,0.788,-2.891,0.997,0.718,0.583,0.82,0.605,60.154,63.045,-2.891,31.894,22.252,9.328,42.624,17.531,NA
